smiles, karl_weight
[*]C1=CC([*])C(=[*])C(=[*])C1,36
[*]C1C(=[*])N([*])C1([*])[*],25
[*]C1=C([*])C(=[*])C(=[*])C1=[*],30
[*]NC([*])[*],13
[*]C1NC(=[*])NC1[*],32
[*]C1CSC(=[*])C(=[*])N1[*],47
[*]c1nccnc1[*],38
[*]C1=C([*])N([*])C(=[*])C([*])N([*])C1,44
[*]C1=CCC([*])=C([*])C1[*],36
[*]C1C(=[*])NC(=[*])CN1[*],38
[*]C1C(=[*])NC(=[*])C(=[*])NC1=[*],44
[*]c1cn([*])c([*])n1,32
[*]C1([*])CCCSC1,46
[*]C1NC[NH+]([*])C1[*],32
[*]C1=C([*])C([*])([*])N([*])C(=[*])C1=[*],37
[*]c1cc([*])c([*])c([*])n1,37
[*]C1([*])CC1([*])[*],18
[*]C1OC([*])C([*])([*])C([*])C1[*],38
[*]C1([*])CCOC1([*])[*],32
[*]=C1CCCCC1=[*],36
[*]C1=C([*])C(=[*])C([*])CC1=[*],36
[*]N1CC([*])([*])C1=[*],25
[*]c1[nH+]c(=[*])c(=[*])c([*])c1[*],37
[*]OP([*])[*],23
[*]N1CC([*])([*])OC(=[*])C1=[*],39
[*]C1=CCC([*])C([*])([*])C([*])C([*])C1[*],48
[*]c1cc([*])on1,33
[*]C1CCCC[NH+]1[*],37
[*]C1CCC(=[*])C([*])([*])C1[*],36
[*]c1cc([*])c([*])nn1,38
[*]C1=[N+]([*])CN([*])C1,32
[*]S([*])=O,24
[*]C1=CC([*])C2([*])COC([*])C1C2,56
[*]c1cc(=[*])c(=[*])cc1[*],36
[*][NH+]1CCCC1([*])[*],31
[*]C1=C([*])OC([*])=C([*])C1,38
[*]C1[NH2+]CC([*])([*])OC1[*],39
[*]C1=[NH+]P([*])([*])=NC([*])=C1[*],47
[*]N=[N+]([*])[*],14
[*]C1=CC(=[*])OC1,32
[*]N1CC(=[*])CNC1([*])[*],38
[*]c1cc([*])c([*])[nH+]n1,38
[*]C1NCCOC1([*])[*],39
[*]C1C2C(=[*])NC(=[*])C1C(=[*])NC2=[*],56
[*]C1=[NH+]C(=[*])C([*])=C1[*],31
[*]C1([*])C=CCCC1,36
[*]C1=C([*])N([*])C(=[*])C([*])C1[*],37
[*]C1([*])NC(=[*])C(=[*])NC1([*])[*],38
[*]C1CCC([*])[S+]1[*],40
[*]C1C[NH+]([*])CCC1([*])[*],37
[*]N1C(=[*])C(=[*])C(=[*])N([*])C1=[*],38
[*]C1=C([*])N([*])CC1=[*],31
[*]C1([*])OCCCO1,40
[*]C1CC([*])([*])N([*])C1([*])[*],31
[*]C([*])[N+]([*])=[*],13
[*]N1CCC[NH2+]C1([*])[*],38
[*]C1OC(=[*])C([*])([*])C1([*])[*],32
[*]C1C(=[*])N([*])C([*])C([*])([*])N1[*],38
[*]=C1NC(=[*])C(=[*])NC1=[*],38
[*]N1CC1([*])[*],19
[*]C1=NCN([*])C1=[*],32
[*]C1CCCC1,30
[*]C1COC([*])([*])C1([*])[*],32
[*]C1=C([*])C(=[*])C(=[*])C([*])([*])C1,36
[*]C1CN([*])CCO1,39
[*]C1CC(=[*])NC(=[*])C1=[*],37
[*]C1C([*])C([*])C([*])C([*])C1[*],36
[*]C1=NC([*])=C([*])P([*])(=[*])N1[*],47
[*]C1CCC[NH+]([*])CC1[*],43
[*]C1NC(=[*])C(=[*])[NH2+]CC1([*])[*],44
[*]C1([*])CCCCC(=[*])N1,43
[*]C1=C([*])C2CCC(C1)N2,49
[*]C1=NC(=[*])C(=[*])C([*])C1[*],37
[*]C1OC(=[*])C(=[*])C1([*])[*],32
[*]c1nnn([*])n1,34
[*]C1([*])OCCO1,34
[*]C1=[NH+]C([*])CC([*])N1[*],38
[*]C1C([*])C([*])N([*])C1[*],31
[*]=C1CSC(=[*])C(=[*])N1,47
[*]C1=NC([*])=C([*])SC1=[*],47
[*]C1=CC([*])CC1([*])[*],30
[*]C1=[NH+]C([*])([*])CC=[N+]1[*],38
[*]C1=CCC([*])C1[*],30
[*]C1=C([*])N([*])C(=[*])C=C1,37
[*]=C1NC(=[*])C(=[*])N1,32
[*]C1=NN([*])C(=[*])NC1=[*],39
[*]C1=NNC([*])S1,42
[*]C1C([*])N([*])C(=[*])N1[*],32
[*]C1CN([*])CC([*])N1[*],38
[*]C1=NC(=[*])C([*])=C([*])[N-]1,38
[*]C1=NC(=[*])C(=[*])OC1=[*],39
[*]C1C[NH+]2CCC1CC2[*],49
[*]C1=NC(=[*])C([*])[NH+]=C1[*],38
[*]C1=C([*])N([*])CCC1=[*],37
[*]C1CN([*])C([*])CO1,39
[*]N1C(=[*])C(=[*])OCC([*])([*])C1=[*],45
[*]C1=NN([*])C(=[*])S1,42
[*]C1CCCC([*])N1[*],37
[*]C1=CN([*])C(=[*])C(=[*])C1[*],37
[*]C1C(=[*])N([*])C([*])([*])C[NH+]1[*],38
[*]C1=NC([*])=C([*])C1([*])[*],31
[*]c1cc[nH]c1,31
[*]C1=CC(=[*])OC([*])=C1,38
[*]C1=C([*])C(=[*])C1,24
[*]C1C(=[*])C(=[*])CC[N+]1([*])[*],37
[*]N1C(=[*])CSC(=[*])N1[*],48
[*]N1NN=NC1=[*],34
[*][N-]C#[*],13
[*]C1=C([*])OCCOCCOCCOCCO1,100
[*]c1cc(=[*])ccc1=[*],36
[*]C1=C([*])CC([*])([*])C([*])C1,36
[*]C1=CC(=[*])SC([*])=C1[*],46
[*]C1=C([*])C([*])NCC1[*],37
[*]C1=NC([*])CO1,33
[*]C1=NN([*])C(=[*])C([*])N1[*],39
[*]C1=CC([*])([*])NC(=[*])N1[*],38
[*]C1CCSC1([*])[*],40
[*]c1cnccn1,38
[*]c1nc(=[*])c(=[*])[nH]1,32
[*]C1=C([*])C(=[*])N([*])N=C1,38
[*]N1OCC([*])([*])C1=[*],33
[*]C1SC(=[*])C(=[*])C1=[*],40
[*]c1[n-]c([*])c([*])c1[*],31
[*]C1C2CC(C([*])([*])C1[*])[N+]([*])([*])CC2=[*],55
[*]=C1NC(=[*])C(=[*])SC1=[*],47
[*]C1=C([*])N([*])C(=[*])C(=[*])N1,38
[*]C1C(=[*])NCCN1[*],38
[*]C1CC(=[*])C(=[*])C(=[*])C1=[*],36
[*]C1=C([*])C([*])([*])C([*])CO1,38
[*]C1C=CC([*])([*])C(=[*])C1([*])[*],36
[*]C1=NC(=[*])C([*])C(=[*])N1,38
[*]C1CN([*])C(=[*])N1,32
[*]C1=CC([*])=NS(=[*])(=[*])N1[*],48
[*]C1SSC(=[*])C1[*],50
[*]N1C=[NH+]N([*])C(=[*])C1,39
[*]C1SC2C=CC1C2,52
[*]C1OCCN([*])C1[*],39
[*]N=O,15
[*]C1N=NC(=[*])S1,42
[*]C1([*])NC(=[*])C(=[*])NC1=[*],38
[*]N1CC[NH+]([*])S1(=[*])=[*],42
[*][NH+]1CCNC(=[*])C1([*])[*],38
[*]C1NC([*])C([*])S1,41
[*]C(=[*])C([*])=[*],12
[*]C1CS(=[*])(=[*])N([*])C1=[*],41
[*]C1CN([*])C(=[*])C(=[*])N([*])C1,44
[*]N1CN=[NH+]C1=[*],33
[*]N1C(=[*])C(=[*])N([*])C1=[*],32
[*]C1=NS(=[*])(=[*])C([*])=C([*])N1[*],48
[*]=C1C=CNC(=[*])C1=[*],37
[*]C1=C([*])S(=[*])N([*])C1=[*],41
[*]C1=C([*])C(=[*])C([*])O1,32
[*]C1COC(=[*])C(=[*])N1[*],39
[*]C1=NC(=[*])NC([*])C1=[*],38
[*]C1([*])C=CC1([*])[*],24
[*]C1CC([*])([*])N([*])C1[*],31
[*]C1=C([*])C2([*])C(=[*])NC([*])(N1)C2([*])[*],50
[*]C([*])([*])C#[*],12
[*]C1=C([*])C(=[*])N([*])C=C1,37
[*]C1CC(=[*])CC(=[*])N1,37
[*]N1C(=[*])C(=[*])C([*])([*])C1=[*],31
[*]C1=CC(=[*])C(=[*])N([*])C1=[*],37
[*]N1C(=[*])NC(=[*])C1=[*],32
[*]C1=C([*])C(=[*])C([*])C(=[*])C1=[*],36
[*]C=C([*])[*],12
[*]C1CCCS(=[*])(=[*])C1,46
[*]=C1CC(=[*])C(=[*])N1,31
[*]C1CCC(=[*])OC1([*])[*],38
[*]C1=CC([*])CCC1([*])[*],36
[*]c1nnc([*])n1[*],33
[*]C1CS(=[*])(=[*])C(=[*])C1=[*],40
[*]=C1NC(=[*])C(=[*])C(=[*])N1,38
[*]C1C=CC([*])C1[*],30
[*]C1CC(=[*])N([*])C(=[*])C(=[*])S1,53
[*]C1=[N+]([*])CCC1,31
[*]c1cc([*])n([*])n1,32
[*]C1=NC(=[*])C([*])([*])S1,41
[*]C1=C([*])C([*])CO1,32
[*]c1cccs1,40
[*]C1CCCCC1[*],36
[*]C1CCC([*])([*])C1,30
[*]C1=CC([*])=NC(=[*])N1,38
[*]C1CC[NH+]([*])CC([*])C1,43
[*]C1=C([*])C([*])CC(=[*])C1,36
[*]C1CC(=[*])C([*])C1[*],30
[*]C1C(=[*])OC([*])([*])C1[*],32
[*]C1N([*])CCN1[*],32
[*]C1CC(=[*])NC1([*])[*],31
[*]C1C[NH2+]C([*])C([*])S1,47
[*]C1COC[NH+]1[*],33
[*]C1=C([*])C([*])=C([*])C1=[*],30
[*]C1C(=[*])C(=[*])C([*])([*])C[NH+]1[*],37
[*]C1=C([*])C([*])([*])CC(=[*])C1=[*],36
[*]C1=C([*])CC(=[*])C(=[*])CC[NH+]([*])CC1,61
[*]C1C(=[*])NC([*])([*])C([*])C1[*],37
[*]C1N=NC([*])O1,34
[*]c1cc([*])[nH]n1,32
[*]C1=CNC([*])=C([*])C1=[*],37
[*]C1=NC([*])C(=[*])C([*])=[NH+]1,38
[*]C1=C([*])C(=[*])N([*])C([*])C1,37
[*]C1=[NH+]CCN1[*],32
[*]C1=NC([*])=C([*])C([*])C1=[*],37
[*]N1C2CCC1C[NH+]([*])CC2,56
[*]C1([*])CCOC1,32
[*]n1c(=[*])cnc1=[*],32
[*]C1CC[NH+]([*])C([*])C1=[*],37
[*]C1=CCCC(=[*])C1=[*],36
[*]c1ccc([*])c([*])c1,36
[*]=C1CCCCCCC1,48
[*]C1([*])CC2C(=[*])CC1CC2=[*],48
[*]C1CNC1,25
[*]c1nc(=[*])sc1=[*],41
[*]C1CNC([*])CN1,38
[*]c1nc([*])c(=[*])c(=[*])n1,38
[*]c1cc([*])ncn1,38
[*]c1cc([*])nc([*])c1,37
[*]C1C(=[*])SSC1([*])[*],50
[*]C1C(=[*])N([*])C([*])[NH+]1[*],32
[*]C1CCC([*])C([*])N1,37
[*]c1c([*])c(=[*])ccc1=[*],36
[*]C1C([*])C([*])([*])CCN1[*],37
[*]N1CC([*])([*])CC1=[*],31
[*]C1=[NH+]CCCN1[*],38
[*]=C1CC[NH2+]CCC1=[*],43
[*]C1COC([*])CN1,39
[*]C1C(=[*])N([*])C([*])S1(=[*])=[*],41
[*]=C1NOS(=[*])N1,44
[*]C1=C([*])C(=[*])C(=[*])N([*])CC1,43
[*]C1C[NH+]([*])CC([*])([*])C1,37
[*]C1CC([*])([*])C(=[*])N1[*],31
[*]C1C(=[*])N([*])CC1([*])[*],31
[*]c1nc(=[*])c(=[*])nc1[*],38
[*]N([*])P([*])([*])=[*],22
[*]C1CSCCS1,56
[*]N1NC1([*])[*],20
[*]C1CCC1,24
[*]=c1[nH]c(=[*])c(=[*])c1=[*],31
[*]C1OC(=[*])C([*])([*])C1=[*],32
[*]N1CCCCO1,39
[*]C1CSC([*])C[NH2+]1,47
[*]C1N=[NH+]C([*])N1,33
[*]C1NC(=[*])C([*])[NH+]([*])C1[*],38
[*]C1([*])CC=CCC1([*])[*],36
[*][N+]12CCC(CC1)C(=[*])C2,49
[*]=C1C=NC(=[*])C(=[*])N1,38
[*]C1=C([*])N([*])CCC1,37
[*]C1C[NH+]([*])C1([*])[*],25
[*]C1=[NH+]C(=[*])C(=[*])C([*])N1,38
[*]C1=COC(=[*])C([*])=C1[*],38
[*]=C1OCC[NH2+]CCOC(=[*])C(=[*])OCCOCCOC1=[*],119
[*]C1SC([*])([*])C([*])N1[*],41
[*]C1=C([*])N([*])C([*])C1[*],31
[*]C1C[NH+]([*])CC1=[*],31
[*]C1=NC(=[*])N([*])C(=[*])C1=[*],38
[*]N1C=NC(=[*])N1[*],33
[*]c1c[n+]([*])cn1[*],32
[*]N1CC(=[*])C(=[*])C(=[*])N([*])C1,44
[*]N1C(=[*])CSC1=[*],41
[*]N1N=CNC1=[*],33
[*]C1C2([*])CCC(C2)C1([*])[*],42
[*]c1nc(=[*])nc([*])c1=[*],38
[*]C1CC[NH+]([*])CC(=[*])C1=[*],43
[*]C1CC[NH2+]C([*])([*])C1,37
[*]C1([*])CCCCC(=[*])C1=[*],42
[*]N1C(=[*])SSC1=[*],51
[*]C1NC(=[*])C(=[*])N1,32
[*]C1C(=[*])C([*])C([*])C([*])([*])C1[*],36
[*]C1=CCC(=[*])C1=[*],30
[*]N1CC(=[*])NCC1=[*],38
[*]N1CC[NH+]([*])C([*])([*])C1,38
[*]C1=NC(=[*])N([*])C=C1,38
[*]C1N=NC([*])N1[*],33
[*]C1=C([*])C([*])COCC1,44
[*]C1C([*])C2([*])SC1([*])NC2=[*],53
[*]C1CNC(=[*])C(=[*])N([*])C1=[*],44
[*]C1=C([*])C(=[*])SS1,50
[*]c1nc([*])c([*])c([*])n1,38
[*]C1C[NH2+]CCO1,39
[*]N1CCCOC1=[*],39
[*][NH+]1CCC([*])([*])C([*])([*])C1,37
[*]C1ON([*])C([*])C1([*])[*],33
[*]C1CCC(=[*])C1=[*],30
[*]C1=[NH+]C([*])=C([*])C(=[*])N1,38
[*]C1N=CN=N1,33
[*]C1OC([*])([*])C([*])C1([*])[*],32
[*]C1([*])CCC(=[*])N1,31
[*]N1C(=[*])C(=[*])C(=[*])S(=[*])(=[*])C(=[*])C1=[*],53
[*]N1CC[NH2+]CC1,38
[*]C1CN([*])C(=[*])N1[*],32
[*]C1=C([*])C(=[*])C([*])C([*])C1,36
[*]C1OC[NH+]([*])C1[*],33
[*]C1=[NH+]CCN1,32
[*]C1([*])CC(=[*])N1,25
[*]C1=NCCCS1,47
[*]C1CC([*])N=N1,32
[*]C1SC(=[*])C(=[*])C(=[*])C1=[*],46
[*]C1=C([*])N([*])CN([*])C1,38
[*]c1cnnc(=[*])c1=[*],38
[*]C1=NC([*])C([*])C(=[*])N1[*],38
[*]C1=NN([*])CC1,32
[*]C1=C([*])C(=[*])NC([*])([*])C1,37
[*]C1=NC([*])=C([*])C(=[*])N1,38
[*]C1=CC(=[*])C=C([*])N1[*],37
[*]C1=C([*])C([*])([*])C([*])([*])C([*])C1=[*],36
[*]=C1CSCC(=[*])C1=[*],46
[*]=C1CCCCCC1,42
[*]C1([*])OCCS1,42
[*]C1OC([*])C([*])O1,34
[*]OC([*])=[*],14
[*]N1C(=[*])C(=[*])C=CC(=[*])C1=[*],43
[*]C1=C([*])CC[NH+]([*])CC1,43
[*]C1=C([*])C([*])([*])C(=[*])C([*])C1[*],36
[*]C1=CC(=[*])C(=[*])CC1([*])[*],36
[*]=c1ncsc1=[*],41
[*]N1CCCSC1=[*],47
[*]=C1CSC(=[*])C(=[*])C(=[*])C1=[*],52
[*]=c1ccncc1=[*],37
[*]C1=CC([*])CCC1[*],36
[*]C1C(=[*])NC([*])([*])N1[*],32
[*]C1=C([*])C(=[*])N([*])C(=[*])N1,38
[*]C1=NS(=[*])(=[*])CCN1[*],48
[*]C1=CC([*])C([*])([*])C([*])C1[*],36
[*]N1CCCCC1=[*],37
[*]C1CC([*])N([*])S(=[*])(=[*])N1,48
[*]C1=CNC=CC1=[*],37
[*]C1CN([*])CC1[*],31
[*]C1NC(=[*])SC1[*],41
[*]C1SC(=[*])C(=[*])C(=[*])C1[*],46
[*]C1CC([*])C([*])C([*])C1[*],36
[*]C1NC(=[*])C(=[*])C(=[*])N1[*],38
[*]C1=C([*])N([*])C(=[*])N([*])C1=[*],38
[*]C1COCCC(=[*])C1=[*],44
[*]C1C2C=CCC1C=C2,48
[*]C1=C([*])N([*])C(=[*])S1,41
[*]C1=C([*])SC(=[*])O1,42
[*]O[N+]([*])=[*],15
[*]C1=NNC([*])C1[*],32
[*]C1NCC(=[*])N([*])C1=[*],38
[*]C1=C([*])C([*])([*])NO1,33
[*]N1C=CC(=[*])N([*])C1=[*],38
[*]C1=CSC([*])[N-]1,41
[*]C1CNC(=[*])C(=[*])N1[*],38
[*]C1([*])CCO1,26
[*]N1CCCC(=[*])C(=[*])C1,43
[*]C1=C([*])CC=CC1,36
[*]C1=C([*])C(=[*])N([*])CN1,38
[*]C1=CCC2C=CC=CC1C(=[*])N2,67
[*]c1nc([*])[nH+]c([*])n1,39
[*][NH+]1CCCCCC1,43
[*][NH+]1CC(=[*])C(=[*])OC([*])([*])C1,45
[*]C1C(=[*])C(=[*])C(=[*])C1=[*],30
[*]C1=NSSC1=[*],51
[*]C1=[NH+]C(=[*])C(=[*])SC([*])[CH-]1,53
[*]N1C(=[*])OC(=[*])C1=[*],33
[*]C1CSC([*])([*])O1,42
[*]C1CCC(=[*])C(=[*])C1([*])[*],36
[*]N1C(=[*])SCC(=[*])C1=[*],47
[*]C1=NN([*])C(=[*])C([*])N1,39
[*]C1=C([*])C(=[*])C([*])=C([*])N1,37
[*]C1CNC([*])([*])C1,31
[*]C1C2([*])C=CC(O2)C1([*])[*],44
[*]C1=C([*])CN([*])CCC1,43
[*]c1cc[nH+]c([*])c1[*],37
[*]S(=[*])N=[*],23
[*]c1c([*])c(=[*])c(=[*])[n+]([*])c1[*],37
[*]C1NC=CN([*])C1=[*],38
[*]C1=CC(=[*])N([*])O1,33
[*]C1C(=[*])CCCC1([*])[*],36
[*]C1CC([*])([*])NC(=[*])N1[*],38
[*]C1CCC([*])([*])C(=[*])C(=[*])C1=[*],42
[*]c1cc([*])sn1,41
[*]C1=CSC(=[*])N1,41
[*]C1OC([*])C([*])C([*])C1[*],38
[*]C1=NN=C([*])C1=[*],32
[*]C1CC(=[*])C([*])C([*])N1,37
[*]C1CC(=[*])N([*])C(=[*])C(=[*])S1(=[*])=[*],53
[*]N1C(=[*])C(=[*])NCC1([*])[*],38
[*]c1csnc1[*],41
[*]C1=CC(=[*])C([*])([*])O1,32
[*]C1CNC(=[*])C(=[*])NC1=[*],44
[*]=C1CNC(=[*])C1=[*],31
[*]C1=C([*])C([*])C([*])C([*])([*])N1,37
[*]=c1cc[nH+]cc1=[*],37
[*]C1CCCCCCCCCCC1=[*],72
[*]c1[nH]c([*])c([*])c1[*],31
[*]C1=CC(=[*])NC=N1,38
[*]C1CNC(=[*])CO1,39
[*]=C1CCSC(=[*])C(=[*])N1,53
[*]C1C(=[*])C(=[*])SCCN1[*],53
[*]C1=NC(=[*])NN=C1,39
[*]C1=C([*])C(=[*])C(=[*])SC1,46
[*]N1NC(=[*])CSC1=[*],48
[*]SC([*])[*],22
[*]C1C(=[*])N([*])C(=[*])C(=[*])CN1[*],44
[*]C1OC([*])([*])OC1=[*],34
[*]C1=C([*])C2C=CC1C2,42
[*]C1CCCC([*])N([*])C1,43
[*]=C1CCC1,24
[*]C1CN([*])CC([*])([*])C1,37
[*]C1=CC(=[*])C(=[*])C=C([*])C1=[*],42
[*]c1cnc([*])c(=[*])c1=[*],37
[*]C1=NC(=[*])NC([*])N1[*],39
[*]N1CC(=[*])NC([*])([*])C1=[*],38
[*]=C1CCC(=[*])C(=[*])N1,37
[*]C1=[NH+]C(=[*])C(=[*])C1=[*],31
[*]C1CCS(=[*])C1,40
[*]C1=NC(=[*])NC(=[*])C1([*])[*],38
[*]c1n[nH]c([*])c1[*],32
[*]c1cc[nH+]c([*])c1[*],37
[*]C1[NH2+]C([*])C([*])NC1=[*],38
[*]C1=NNC(=[*])C(=[*])C1=[*],38
[*]C1=NNNN1[*],34
[*]C1SCSCS1,66
[*]C1([*])OC([*])([*])C([*])([*])C1([*])[*],32
[*]C1=COCCO1,40
[*]C1=CNC(=[*])N=C1[*],38
[*]c1nc([*])c(=[*])c(=[*])[nH+]1,38
[*]C1=C([*])NC([*])CN1,38
[*]N1CCOP1[*],42
[*]c1ccnnc1[*],38
[*]C1CC(=[*])C([*])C([*])C1,36
[*]S(=[*])[O-],24
[*]C1=[N+]([*])C([*])NC(=[*])C1=[*],38
[*]C1C(=[*])C([*])N([*])C1=[*],31
[*]C1([*])COC(=[*])C(=[*])C1,38
[*]C1=CN([*])C([*])=CC1=[*],37
[*]c1ccc([*])c([*])n1,37
[*]C1CN([*])C([*])C1[*],31
[*]C1=NN([*])C(=[*])C1,32
[*]C1=NC(=[*])C(=[*])OC([*])=C1[*],45
[*]C1([*])C[NH2+]CCOC1,45
[*]C1CN([*])C([*])([*])C[NH2+]1,38
[*]C1C=CN=N1,32
[*]c1ccc(=[*])c(=[*])c1[*],36
[*]C1([*])C(=[*])C2CCC1C2,42
[*]C1CCCSC1[*],46
[*]C1([*])NC(=[*])C(=[*])C(=[*])C(=[*])O1,45
[*]C1C(=[*])CC[N+]([*])([*])C1[*],37
[*]C12CC3CCC1([*])C3([*])CO2,56
[*]C1C2CCC1CC2,42
[*]C1=C([*])C(=[*])C[NH+]([*])C1,37
[*]C1CCOC([*])([*])C1,38
[*]C1=NC([*])([*])C(=[*])N1[*],32
[*]C1=NC([*])N([*])C(=[*])N1[*],39
[*]C1OC([*])C(=[*])C1=[*],32
[*]N1N=CNC1=[*],33
[*]C1C2C=CC(N([*])N2[*])C1([*])[*],50
[*]C1CC2C=CC1C2,42
[*]C1=NC(=[*])C([*])=C([*])N1[*],38
[*]C1([*])CC(=[*])C(=[*])O1,32
[*]c1c([*])c([*])[n+]([*])c([*])c1[*],37
[*]C1CC2CCCC(C2)[NH2+]1,55
[*]C1[NH+]=CN([*])C1=[*],32
[*]C1CSCCC(=[*])C1=[*],52
[*]C1=NC([*])CC1([*])[*],31
[*]C1([*])NC(=[*])C(=[*])C(=[*])C1=[*],37
[*]C1C(=[*])CC([*])([*])CC1([*])[*],36
[*]C1CCC([*])C([*])([*])C1,36
[*]C1=NC([*])=C([*])C1[*],31
[*]C1C[NH2+]CCN1[*],38
[*]C1=CC(=[*])N=C([*])S1,47
[*]C1NC(=[*])C(=[*])C(=[*])N1,38
[*]C1CCCCCC1=[*],42
[*]C1CSC([*])C1[*],40
[*]C1CC2([*])NC(=[*])C([*])(C2[*])C1([*])[*],49
[*]C1=CC2CC1C([*])C2[*],42
[*]C1C[NH+]([*])CC([*])C1[*],37
[*]C1=C([*])N([*])CCN1,38
[*]N1C2CCC1C([*])([*])C2,43
[*]C1C=[N+]([*])C([*])N1,32
[*]C1=NC([*])C(=[*])NC(=[*])C1=[*],44
[*]C([*])C=[*],12
[*]C1=C([*])S(=[*])(=[*])C([*])C([*])C1[*],46
[*]NC([*])=[*],13
[*]c1c([*])c(=[*])n([*])c1=[*],31
[*]C1=C([*])C([*])([*])CC([*])([*])N1,37
[*]c1ccccc1,36
[*]C1=NCN([*])C1[*],32
[*]C1([*])OC(=[*])C(=[*])C1=[*],32
[*]N1CCC=N1,32
[*]c1ccnc(=[*])c1=[*],37
[*]S([*])(=[*])=N,23
[*]C[NH3+],13
[*]C1CC([*])([*])[NH+]([*])C([*])([*])C1,37
[*]C1CC2([*])CC(C(=[*])O2)C1[*],50
[*]C1=NN([*])C([*])S1,42
[*][NH+]1CCC(=[*])C(=[*])C([*])([*])C1,43
[*]C1=[NH+]C([*])=C([*])SC1[*],47
[*]C1=CN([*])C(=[*])C([*])=C1,37
[*]C1=NC(=[*])C(=[*])C1=[*],31
[*]C1=[N+]([*])C([*])C([*])N1,32
[*]C1=CC([*])C2COC([*])C1C2[*],56
[*]C1([*])CC(=[*])C(=[*])C(=[*])O1,38
[*]c1n[nH+]c([*])c(=[*])c1=[*],38
[*]C1C([*])C2C=CC1C2([*])[*],42
[*]C1CC2CCC(C1)C2([*])[*],48
[*]C1=CC([*])=C([*])CS1,46
[*]n1c[n+]([*])c(=[*])c1=[*],32
[*]C1CCC(=[*])C(=[*])N1[*],37
[*]C1=NC([*])N([*])C([*])N1,39
[*]C1C[NH+]([*])C([*])C([*])([*])C1[*],37
[*]C1CC(=[*])C(=[*])C([*])N1,37
[*]C1CC(=[*])C([*])C(=[*])N1,37
[*]C1CCC([*])C([*])[NH2+]1,37
[*]C1C2C=CC(C2)C1([*])[*],42
[*]C1CCC([*])[NH+]([*])C1,37
[*]C1=C([*])C(=[*])NS(=[*])N1,48
[*]C1=CC(=[*])C=C([*])N1,37
[*]C1=CC([*])=C([*])C(=[*])O1,38
[*]C1=C([*])C([*])N([*])C([*])C1,37
[*]C1CC(=[*])OC1([*])[*],32
[*]C1NCCN([*])C1=[*],38
[*]N1CC(=[*])OC(=[*])C1=[*],39
[*]N1COC(=[*])C(=[*])C1,39
[*]C1CC(=[*])C([*])([*])O1,32
[*]N1CCCN([*])C(=[*])C1=[*],44
[*]C1=C([*])C(=[*])NC=C1,37
[*]C1=NC([*])C([*])SC1[*],47
[*]C1C([*])C([*])([*])C(=[*])CC1([*])[*],36
[*]c1cc([*])[n+]([*])c([*])c1[*],37
[*]C1=NC(=[*])C([*])CS1,47
[*]C1=NN([*])C(=[*])C(=[*])N1[*],39
[*]P([*])([*])=O,23
[*]c1cc[nH+]c([*])c1,37
[*]C1=CC([*])=C([*])C([*])C1[*],36
[*]C1NC(=[*])C(=[*])NC1[*],38
[*]C1=C([*])C(=[*])N([*])N1,32
[*]c1ccncc1,37
[*]c1cc([*])c([*])c([*])c1,36
[*]C1=[NH+]C([*])C([*])S1,41
[*]C1=C([*])C2OC(=[*])C(=[*])C(O1)C2[*],58
[*]C1CCCCC(=[*])C1[*],42
[*]C1=CC([*])=NN([*])C1=[*],38
[*][NH+]1CCN2CCC1CC2,56
[*]C1CC[NH+]([*])CCN1[*],44
[*]C1CN([*])C(=[*])C[NH2+]1,38
[*]C1=C([*])N([*])C([*])C1,31
[*]C1=C([*])CSC1,40
[*]C1C(=[*])CC([*])C([*])([*])C1[*],36
[*]C[S+]([*])[*],22
[*]C1C=CCCCCC1[*],48
[*]C1=[N+]([*])C(=[*])N([*])S1,42
[*]=C1CCOCC1,38
[*]C1([*])CSCC([*])([*])C1,46
[*]C1=CC=C([*])N([*])C1=[*],37
[*]CS[*],22
[*]C1C[NH+]([*])C([*])CCN1,44
[*]C1=NC(=[*])NC(=[*])C1,38
[*]N1CC=CCN([*])CC=CC1,62
[*]C1C=CCCCCC1,48
[*]C1COCC([*])C1[*],38
[*]C1CC([*])C1([*])[*],24
[*]OP([*])([*])=[*],23
[*]N1CCS(=[*])C([*])([*])C1,47
[*]C1=C([*])C([*])([*])C2CC1C(=[*])C[N+]2([*])[*],55
[*]N1C=NC=CC1=[*],38
[*]C1CC2CCCC(C1)[NH2+]2,55
[*]C1=C([*])C([*])N([*])N1,32
[*]C1=CCC([*])C([*])([*])C1,36
[*]=C1COCOC1=[*],40
[*]C1=NN=C([*])C(=[*])N1,39
[*]C1=C([*])NC([*])C(=[*])N1,38
[*]N1CCCN([*])CC1,44
[*]C1=[NH+]C([*])N([*])C(=[*])N1,39
[*]C1CSC[NH+]1[*],41
[*]N1CCS(=[*])(=[*])C1=[*],41
[*]C1C(=[*])NC2([*])CC1C(=[*])C(=[*])O2,57
[*]C1CC1[*],18
[*]=C1OCOC1=[*],34
[*]N1C(=[*])C([*])([*])C(=[*])N1[*],32
[*]C1=NC(=[*])N([*])C([*])N1,39
[*]N1C(=[*])C(=[*])C(=[*])S1(=[*])=[*],41
[*]C(=[*])N,13
[*]PC,21
[*]N1CC[NH+]([*])CCN([*])CC[NH+]([*])CCN([*])CC[NH+]([*])CC1,114
